group,outcome,discogs_listing,discogs_catno_or_cached,shopify_sku,candidates,release
1 auto-fixable,fix,4373534754,PAMPA 032,PAMPA032,,"&ME - In Your Eyes (12"", EP)"
1 auto-fixable,fix,4219806177,SFA 003,SFA,,"003          Convertible (3) - Like The Rain E.P (12"")"
1 auto-fixable,fix,4219807146,RHM 051,RHM,,"051          Boo Williams - The Recovery (12"")"
1 auto-fixable,fix,4338018012,3AM011,3AM011,,"Aeon Four - Awakening (12"")"
1 auto-fixable,fix,4337833968,XY9-06,XY9-06,,"Alton Miller - Still Purpose EP (12"", EP)"
1 auto-fixable,fix,4373539923,GONDLP081,GONDLP081,,"Ancient Infinity Orchestra - It's Always About Liberation (LP, Album)"
1 auto-fixable,fix,4337946765,AP-004,AP-004,,"Andy Hart - Life À L'Orange (12"")"
1 auto-fixable,fix,4338041121,SPTLP010,SPTLP010,,"Aural Imbalance - Fragile Shapes (12"", Cya + 12"", Red + Album)"
1 auto-fixable,fix,4337938446,CRVT009,CRVT009,,"Aural Imbalance - Shortform (12"", EP, Mar)"
1 auto-fixable,fix,4337960925,WOLFEP047,WOLFEP047,,"BRS - Spring Dom EP (12"", EP)"
1 auto-fixable,fix,4338042429,SIGNSSOUL80,SIGNSSOUL80,,"Badmarsh & Shri / Calibre - Signs (Calibre Remix) / Soul 80 (12"", RM, W/Lbl)"
1 auto-fixable,fix,4373524557,CBR 009,CBR009,,"Bass Toast - From Above (12"", Ltd)"
1 auto-fixable,fix,4337844324,LTDBLBL020,LTDBLBL020,,"Benjamin Long - LTDBLBL020 (12"", EP, Whi)"
1 auto-fixable,fix,4372179366,RMCE028,RMCE028,,"Black Eyes (5) - Ocean Floor Funk EP (12"", EP)"
1 auto-fixable,fix,4373217150,RMCE028,RMCE028,,"Black Eyes (5) - Ocean Floor Funk EP (12"", EP, Pur)"
1 auto-fixable,fix,4337995125,VIBEZ93023,VIBEZ93023,,"Blade (26) - Then & Now EP (12"", EP, Red)"
1 auto-fixable,fix,4373533128,ZEN328N,ZEN328N,,"Bonobo - Distance In Static (2xLP, Album, Ltd, Blu)"
1 auto-fixable,fix,4337838291,LTDBLBL017,LTDBLBL017,,"Bralan Arias - LTDBLBL017 (12"", MiniAlbum, W/Lbl, Whi)"
1 auto-fixable,fix,4338017538,BF04,BF04,,"Bruno Pronsato - The Warm Ups & The Ways (12"", 180)"
1 auto-fixable,fix,4338020118,31RS025,31RS025,,"Bungle - Cocooned / Distance (12"")"
1 auto-fixable,fix,4337945700,7DAYSBBZ003,7DAYSBBZ003,,"ButterBandz - The Eclipse (12"", EP)"
1 auto-fixable,fix,4373522364,CDR-001,CDR001,,"C.A.R. (3) - Sunshine (12"")"
1 auto-fixable,fix,4337824797,TOYT 046,TOYT046,,"COEO - Back In The Days (12"")"
1 auto-fixable,fix,4338019455,SIGLP014,SIGLP014,,"Calibre - Planet Hearth (2xLP, Album)"
1 auto-fixable,fix,4338039921,SIG024,SIG024,,"Calibre - Taciturn / Butter Love (12"", RE)"
1 auto-fixable,fix,4372180257,HOV011,HOV011,,"Cassy - CBM 1 (12"")"
1 auto-fixable,fix,4373218539,HOV011.1,HOV011.1,,"Cassy - CBM 2 (12"")"
1 auto-fixable,fix,4281425172,IDWT-005,IDWT005,,"Chaos In The CBD - Multiverse EP (12"", EP)"
1 auto-fixable,fix,4337835531,HARD40,HARD40,,"Charlie Rice (7) & Nay Barr - HARD40 (12"")"
1 auto-fixable,fix,4338021309,SPTLP009,SPTLP009,,"Chronicle - Ivory Tower (12"", Ora + 12"", Yel + Album)"
1 auto-fixable,fix,4373519838,IIAJ005,IIAJ005,,"Close Counters - If It Aint Jazz Volume 5 (12"", Promo)"
1 auto-fixable,fix,4337981886,PRSPCT354,PRSPCT354,,"Coco Bryce - Our Darkness (12"", EP)"
1 auto-fixable,fix,4337930097,GR-N14,GR-N14,,"DFRA - All About You EP (12"", EP)"
1 auto-fixable,fix,4373530320,WOLFEP089,WOLFEP089,,"DJ Alone Again - Orbital Constructs (12"")"
1 auto-fixable,fix,4337933520,CS127,CS127,,"DJ Assassin - A Face Amongst The Crowd (12"", Ltd, RE)"
1 auto-fixable,fix,4337822751,FR 026,FR026,,"DJ Jauche - Music Always Helps (12"")"
1 auto-fixable,fix,4373536398,PAMPA 003,PAMPA003,,"DJ Koze - Blume Der Nacht / Rue Burnout (12"", RP)"
1 auto-fixable,fix,4373536659,PAMPA 014,PAMPA014,,"DJ Koze - La Duquesa / Burn With Me (12"", RE, RP)"
1 auto-fixable,fix,4373535855,PAMPA 040,PAMPA040,,"DJ Koze - Wespennest EP (12"", EP)"
1 auto-fixable,fix,4373537157,PAMPA 024,PAMPA024,,"DJ Koze - XTC (12"", EP)"
1 auto-fixable,fix,4281254667,LU008,LU008,,"DJ Nature - Amma (12"", Ltd, Smplr)"
1 auto-fixable,fix,4373532414,PCR016,PCR016,,"DJ Para - Rebirth EP (12"", EP)"
1 auto-fixable,fix,4337840910,HTRE - 015,HTRE015,,"DJ Romain - The New Jersey EP (12"", EP)"
1 auto-fixable,fix,4200193323,SOUL:R064,SOULR064,,"DRS - The Puppeteer  (12"", RP)"
1 auto-fixable,fix,4198972485,SOUL:R065,SOULR065,,"DRS - The View / Count To Ten VIP (12"", RP)"
1 auto-fixable,fix,4373216541,VIBR 029,VIBR029,,"Danijel Kevic - Back In The Days EP (12"")"
1 auto-fixable,fix,4338041517,DSCI4060,DSCI4060,,"Danny C + Mike Pears - Listen & Learn EP (12"", EP)"
1 auto-fixable,fix,4337674683,PS014,PS014,,"David Böning & Phillip Kluge - Moonbathed And Sunkissed (12"", EP)"
1 auto-fixable,fix,4337830179,STILLM004,STILLM004,,"Delano Smith Featuring Diamondancer - A Message For The DJ (12"", RE)"
1 auto-fixable,fix,4373520573,AT001,AT001,,"Dj Dats - Phuture 3030 (12"", EP)"
